,ID,ETL_DATE,ENTID,NAME,ADDRESS,CODE1,CODE2,ISURBAN,ISBOARD,HAVEBOND,HAVEBOND2,ISBAD,M001,M002,M003,M004,M005,M006,M010,M011,M012,M013,M015,M020,M021,M022,M023,M024,M025,M026,F005,F015,F022,F024,F031,F037,F039,F044,DATA_DATE
564,1195095,2020-10-15 22:36:56,6F274BCA803F7C57E0539601A8C0ACD65,中交路桥建设有限公司,北京市通州区潞城镇通胡大街8号1层001室,9111000059062789XU,59062789X,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0.9156,0.6541,0.1533,0.4603,-0.8355,0.5799,27.2966,2018-06-29
565,1195096,2020-10-15 22:36:56,6F274BCA96EF7C57E0539601A8C0ACD65,中国化工集团有限公司,北京市海淀区北四环西路62号,91110000710932515R,710932515,0,0,1,1,,,,,,,,,105.0,,0.0,0.0,0.0,,,,,,,2.3836,16.5404,0.2696,0.1166,0.4877,-1.1265,0.4984,30.5871,2018-06-29
566,1195097,2020-10-15 22:36:56,6F274BCA99D97C57E0539601A8C0ACD65,昭仪新天地股份有限公司,北京市朝阳区建国路89号院7号楼L12,911101057467092862,746709286,0,0,1,0,,,,,,,,,75.0,1.0,,,,,,,,,,4.1109,0.7336,-0.0343,-0.0092,0.2891,2.289,0.2743,,2018-06-29
567,1195098,2020-10-15 22:36:56,6F274BCAA2927C57E0539601A8C0ACD65,飞天诚信科技股份有限公司,北京市海淀区学清路9号汇智大厦B楼17层,9111000070003202XF,70003202X,0,1,0,0,,-0.660317,-0.345748,-0.257881,-0.308867,-0.210597,,,,,,,,-0.111566,4.31152,3.64141,-0.177823,4.65258,3.91385,57301.3,1.8954,5.1734,0.0933,0.0101,-2.6883,29.5584,24.0172,2018-06-29
568,1195099,2020-10-15 22:36:56,6F274BCAA66A7C57E0539601A8C0ACD65,北京科技园建设(集团)股份有限公司,北京市海淀区北四环中路229号,91110108700236882A,700236882,1,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,,,,,,,,13.4681,2018-06-29
569,1195100,2020-10-15 22:36:56,6F274BCAA8167C57E0539601A8C0ACD65,国家电网有限公司,北京市西城区西长安街86号,9111000071093123XX,71093123X,0,0,1,1,,,,,,,,,120.0,,2.0,134.0,1.0,,,,,,,,75.6846,1.6996,0.1962,0.2192,1.9052,0.2804,12.6137,2018-06-29
570,1195101,2020-10-15 22:36:56,6F274BCAA9FB7C57E0539601A8C0ACD65,天地科技股份有限公司,北京市朝阳区和平街青年沟路5号,911100007109261826,710926182,0,1,1,1,,-0.182628,-0.186253,-0.210753,-0.12619,-0.117788,,0.139519,95.0,,10.0,0.0,0.0,-0.0586354,2.71243,0.575696,-0.16134,2.61585,0.310582,11.2603,16.0211,0.6322,0.0778,0.1035,-25.5949,2.2567,18.8748,2018-06-29
571,1195102,2020-10-15 22:36:56,6F274BCAB3397C57E0539601A8C0ACD65,中国黄金集团有限公司,北京市东城区安外大街9号,91110000100001625L,100001625,0,0,1,1,,,,,,,,,110.0,,17.0,0.0,0.0,,,,,,,3.6587,33.967,0.1443,0.0379,0.5044,-0.1601,0.4316,-7.017,2018-06-29
572,1195103,2020-10-15 22:36:56,6F274BCAB4F07C57E0539601A8C0ACD65,北京中海北方港口工程有限公司,北京市石景山区八大处高科技园区西井路3号3号楼5651房间,911101077744221943,774422194,0,0,1,0,,,,,,,,,75.0,1.0,,,,,,,,,,,2.821,0.2313,0.0443,0.058,24.0638,0.7679,,2018-06-29
573,1195104,2020-10-15 22:36:56,6F274BCAB7917C57E0539601A8C0ACD65,北京金泰房地产开发有限责任公司,"北京市门头沟区新桥南大街2,4号12幢2层",911100006337135108,633713510,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,-1.4013,1.4292,1.795,0.2881,0.3466,0.4115,4.8876,-46.481,2018-06-29
574,1195105,2020-10-15 22:36:56,6F274BCABAAB7C57E0539601A8C0ACD65,中建交通建设集团有限公司,北京市丰台区小屯路100号,91110000681200816F,681200816,0,0,1,0,,,,,,,,,,,,,,,,,,,,1.7721,2.7042,0.4414,0.1388,0.3922,0.711,1.0243,39.5186,2018-06-29
575,1195106,2020-10-15 22:36:56,6F274BCABBE67C57E0539601A8C0ACD65,中关村发展集团股份有限公司,北京市海淀区西三环北路甲2号院7号楼10-14层,911100005531192122,553119212,1,0,1,1,,,,,,,,,105.0,,9.0,2.0,0.0,,,,,,,4.0487,4.181,-0.0047,-0.0048,0.418,0.8888,2.7905,11.3636,2018-06-29
576,1195107,2020-10-15 22:36:56,6F274BCAC1907C57E0539601A8C0ACD65,中化岩土集团股份有限公司,北京市大兴区科苑路13号院1号楼,91110000710929148A,710929148,0,1,1,0,,-0.303781,-0.562295,-0.275441,-0.317136,-0.217009,7.0,,,,5.0,0.0,0.0,-0.301185,3.66454,2.32631,-0.240116,3.68362,1.24653,7.6811,19.4447,0.1079,0.0538,0.2287,2.2337,0.2368,21.0516,2018-06-29
577,1195108,2020-10-15 22:36:56,6F274BCAC2607C57E0539601A8C0ACD65,金科环境股份有限公司,北京市朝阳区望京利泽中园二区203号洛娃大厦C座2层209-226房间,91110105764202737L,764202737,0,1,0,0,,,,,,,,,,,,,,,,,,,,24.3063,7.3944,1.571,0.1195,0.1187,-3.7125,4.0028,57.714,2018-06-29
578,1195109,2020-10-15 22:36:56,6F274BCACC497C57E0539601A8C0ACD65,中国同辐股份有限公司,北京市海淀区厂洼中街66号1号楼四层南部418室,91110000100001019X,100001019,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,615.08,0.1619,0.0318,-1.3372,2095.42,12.7847,2018-06-29
579,1195110,2020-10-15 22:36:56,6F274BCACD817C57E0539601A8C0ACD65,北京辰安科技股份有限公司,北京市海淀区丰秀中路3号院1号楼-1至5层305,91110108783233053A,783233053,0,1,0,0,,,0.556611,0.316702,-0.00240269,0.00989136,76.0,,,,,,,0.212528,2.81408,0.840113,0.283261,3.74406,0.896683,60.6661,9.7456,1.4729,0.1692,0.0547,-3.3053,4.3865,16.6127,2018-06-29
580,1195111,2020-10-15 22:36:56,6F274BCADADE7C57E0539601A8C0ACD65,中期集团有限公司,北京市朝阳区建国门外光华路14号1幢01层36号,91110000802863051N,802863051,0,0,1,1,,,,,,,,,85.0,,0.0,0.0,0.0,,,,,,,2.1543,0.7395,-4.2102,-1.2227,0.2136,-0.6815,27.3775,-13.8638,2018-06-29
581,1195112,2020-10-15 22:36:56,6F274BCAE0D87C57E0539601A8C0ACD65,中民新能投资集团有限公司,北京市海淀区地锦路9号15号楼101-41室,911100003181039668,318103966,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,2.65,55.152,0.0743,-0.0486,0.3627,1.5792,0.4428,307.666,2018-06-29
582,1195113,2020-10-15 22:36:56,6F274BCAE1457C57E0539601A8C0ACD65,中信富通融资租赁有限公司,北京市通州区安顺北里18号楼安顺2街1号,911100005603500419,560350041,0,0,1,1,,,,,,,,,90.0,,8.0,0.0,0.0,,,,,,,,0.0215,0.33,1.5618,0.5671,0.3707,0.2013,21.44,2018-06-29
583,1195114,2020-10-15 22:36:56,6F274BCAE5BF7C57E0539601A8C0ACD65,中国能源建设集团有限公司,北京市朝阳区西大望路甲26号院1号楼1至24层01-2701室,91110000717830650E,717830650,0,0,1,1,,,,,,,,,110.0,,2.0,0.0,0.0,,,,,,,5.5161,11.5576,0.1111,0.0174,0.2704,0.2301,1.5174,5.0887,2018-06-29
