FE;EBITA;OCF;MC;FS
1.474;11.371;5.077;-0.786544078;0
0.836;3.799;14.892;0.628356807;0
0;6.398;2.938;0.512028638;0
0;13.767;8.738;-0.055980438;0
0;17.933;16.829;1.094514534;0
9.922;25.643;24.181;1.449189304;0
8.887;35.6;16.263;-0.012321015;0
19.494;45.171;12.637;-0.361839429;0
14.597;56.219;69.599;0.82947315;0
17.097;28.065;6.57;-0.627866088;0
3.241;48.85;45.341;0.545332081;0
6.439;27.961;20.908;0.036221392;0
1.737;109.319;32.193;-0.308430823;0
59.464;73.644;-68.418;0.10964811;0
50.398;67.35;-40.26;-0.019113063;0
158.42;-80.379;-119.774;0.090376867;0
175.291;-324.676;-138.975;-0.518646449;0
2.519;6.849;5.42;0.115557129;0
2.757;7.911;6.648;0.37541001;0
0.82;9.151;5.477;1.408595533;0
1.936;10.952;8.3;0.185982881;0
4.259;11.009;4.508;0.347206388;0
4.247;14.058;8.729;-0.147010073;0
1.755;19.742;13.663;1.816705042;0
6.509;27.638;11.378;1.018201597;0
1.566;31.345;14.64;2.799338952;0
1.905;44.563;47.208;-0.546779188;0
2.171;19.693;16.115;-0.334412443;0
1.879;29.472;21.384;0.107172303;0
4.77;62.111;24.1;1.297326196;0
0.634;62.582;36.611;-0.409103796;0
0.607;77.942;36.697;0.401500197;0
49.569;-8.479;1.916;-1;0
13.578;252.066;167.926;-0.045714286;0
12.798;272.558;136.761;-0.033912357;0
21.092;144.163;184.403;-0.222360023;0
12.116;316.203;178.18;3.792720259;0
12.173;954.43;584.785;-0.544118126;0
15.333;167.985;302.159;0.213050011;0
3.422;97.052;122.368;-0.572459321;0
0.026;65.955;83.499;0.831030694;0
0;151.343;57.1;-0.260090218;0
0;161.147;160.355;0.438724217;0
0;236.072;245.029;-0.143945627;0
0;219.482;181.863;-0.160221569;0
0;175.718;64.991;-0.294004671;0
0;227.244;200.454;0.561031304;0
0;381.118;152.095;0.050419817;0
0;322.441;148.422;-0.113491803;0
0;193.276;194.795;-0.10768623;0
0;209.373;-70.637;0.104857054;0
0;254.963;197.589;0.082501541;0
0;208.253;166.441;-0.122786711;0
0;244.734;195.011;0.306510304;0
33.594;31.699;24.863;0.448395652;0
33.13;42.208;38.744;0.452310337;0
53.123;58.108;55.791;0.248520185;0
43.159;80.225;68.746;0.280312907;0
37.479;64.033;55.119;0.284828735;0
55.365;99.321;89.525;0.348330394;0
76.486;111.445;105.295;0.56953952;0
50.411;136.842;120.628;-0.153439368;0
0;158.153;140.293;0.137802849;0
0;182.64;166.165;-0.209854065;0
0;185.261;189.358;0.164944584;0
0.277;227.459;221.669;0.459625635;0
14.262;279.022;67.049;0.388606916;0
10.591;361.606;34.738;0.885569883;0
20.647;435.288;-6.487;-0.152292631;0
11.907;522.82;74.961;0.477494771;0
106.701;577.32;109.165;-0.338049443;0
58.856;618.791;75.739;0.384685697;0
13.191;705.274;193.417;0.053114904;0
13.339;743.366;49.261;0.085739692;0
0;826.362;307.195;0.23582818;0
1.755;916.033;59.754;0.061091083;0
27.529;907.064;308.437;0.001669125;0
112.597;1194.234;-48.962;0.033111648;0
157.178;1536.964;166.761;-0.266450951;0
146.515;1646.804;465.444;0.406111242;0
97.192;1806.737;159.135;0.220769963;0
916.263;2168.794;1388.849;-0.132981581;0
843.594;2442.047;1846.909;-0.042098835;0
772.503;2654.711;2212.137;0.077326136;0
1049.863;2949.327;1965.581;0.250491906;0
1383.727;3340.146;2382.062;0.199307392;0
1781.352;3578.18;2628.767;0.273383504;0
1759.076;3902.166;2732.901;0.48431214;0
896.271;4161.581;2937.521;-0.243796385;0
479.454;4089.499;3099.618;0.332970661;0
2953.335;4705.95;3566.848;0.157367574;0
2148.654;5118.186;4182.944;-0.278570522;0
2537.357;5438.763;3746.448;0.166080727;0
1992.683;5744.026;5107.943;-0.001802571;0
2062.01;6194.338;5174.416;-0.166033167;0
5401.261;6418.969;5329.241;0.233755059;0
2725.915;7378.431;5183.843;0.162239382;0
3647.957;8315.924;7344.191;-0.047962999;0
5225.725;8993.251;7275.16;0.010792697;0
6394.766;10663.086;8735.981;-0.115007014;0
3374.755;12040.342;8970.077;0.191408158;0
2390.662;12566.722;9314.401;0.16952286;0
3173;4393;3324;-0.425412742;0
4437;4475;3675;0.144141248;0
3130;4844;2966;-0.025840414;0
1325;4975;3203;-0.144615437;0
714;7017;5570;0.758922897;0
3.782;6.494;4.067;0.32;0
1.04;6.299;6.317;0.151515152;0
1.596;8.903;-0.477;0.269944505;0
1.51;6.646;3.136;-0.229166667;0
1.486;6.524;0.363;-0.195417863;0
7.42;14.279;3.358;0.450375855;0
1.586;11.544;5.954;0.271860882;0
14.924;6.933;-8.186;-0.446428571;0
1.363;11.872;7.058;-0.032258065;0
1.709;7.902;6.358;-0.064441417;0
14.907;5.766;2.497;0.471656619;0
2.63;1.976;-0.749;-0.238762913;0
1.293;-3.545;-2.06;0.121596889;0
1.175;0.871;3.256;0.147966406;0
1.167;-0.307;-0.206;0.057864389;0
1.035;-1.005;-0.647;-0.026099737;0
0.632;-2.293;-1.533;0.378333566;0
0.567;-3.305;-3.83;-0.604523566;0
0.271;-3.879;-2.154;0.497949117;0
0.334;-2.377;-1.299;-0.314726037;0
1.627;9.399;-0.873;0.470972918;0
0.886;10.291;8.369;0.041700601;0
0.25;10.813;4.81;0.094942474;0
0.25;11.286;4.081;-0.064673032;0
0.25;10.709;12.391;0.144572069;0
0.25;9.019;5.63;-0.167006278;0
0.25;9.685;8.595;0.599341069;0
0.125;7.766;1.777;-0.322204233;0
0.642;9.755;7.98;-0.100428277;0
11.574;7.759;2.408;-0.018138428;0
7.608;8.965;15.48;0.06886965;0
3.286;13.973;9.132;1.736206936;0
1;17.163;19.69;0.481598228;0
0.626;13.45;-1.39;-0.356818323;0
0.5;14.234;16.154;-0.075018708;0
0.525;16.855;4.163;0.339568233;0
0.5;23.755;15.418;-0.170116128;0
0;13.209;22.511;-0.11535667;0
0;16.895;-15.499;-0.118595298;0
6.247;23.112;14.038;0.226551634;0
6.713;33.953;13.269;0.361778287;0
11.714;44.604;23.731;0.593833501;0
8.343;55.608;25.056;0.34625524;0
10.197;65.676;8.343;0.375469417;0
0.197;69.652;31.831;-0.097585982;0
14.466;68.18;44.567;-0.282297772;0
3.585;12.619;21.023;0.08;0
3.799;16.012;17.255;0.407407407;0
2.264;10.338;7.984;0.475792486;0
1.926;18.014;10.556;0.942559524;0
0.607;5.791;3.746;0.340334664;0
0.681;3.62;0.868;0.706038445;0
1.457;3.425;4.355;0.00582969;0
1.44;5.542;-0.605;2.655825733;0
2.206;3.325;3.549;-0.74913653;0
2.562;4.874;5.748;-0.113379957;0
2.754;7.804;7.585;-0.271999476;0
2.258;7.441;8.163;0.134343977;0
0.249;7.195;0.024;0.588083694;0
12.794;2.47;1;-0.191145949;0
2.395;1.761;2.71;-0.260869565;0
4;2.942;0.712;-0.235294118;0
3.65;-3.044;0.908;0.192307692;0
5.258;0.699;6.245;0.440615397;0
3.727;1.775;-3.357;0.082537297;0
9.826;0.389;0.608;-0.623326889;0
2.723;1.555;0.495;-0.480752147;0
2.589;3.019;0.507;1.50071286;0
2.841;3.036;2.049;0.347928544;0
3.093;1.593;1.642;-0.043531093;0
2.176;2.92;1.753;0.386500714;0
1.421;6.084;4.311;2.038267447;0
0.01;7.484;-0.439;-0.092591272;0
0.009;7.548;-0.823;0.041422233;0
0.003;7.624;2.706;-0.000121151;0
0.004;7.887;3.266;-0.534507837;0
0;3.945;6.582;0.232654638;0
0;3.85;-1.135;0.005696478;0
0;5.387;2.063;0.019359357;0
0;6.451;-1.273;0.158398388;0
0;7.084;6.475;0.38246087;0
0;9.394;4.649;0.379331752;0
0;9.799;1.08;-0.114488876;0
0;10.865;8.857;0.459444822;0
0.267;10.691;4.811;-0.071378877;0
0;0.084;0.973;-1;0
0;-0.366;-3.08;1.65651688;0
0;-1.015;-1.22;-0.287520367;0
0;5.177;-3.786;1.120567188;0
0;13.142;-6.327;-0.118233766;0
0.781;17.001;-1.388;0.28407211;0
5.992;34.333;18.078;0.36900436;0
16.26;48.493;77.389;0.120625409;0
10.231;46.109;81.565;1.115902437;0
0.168;86.791;111.792;1.550212932;0
0.147;104.947;90.975;-0.48697092;0
0;119.817;67.403;1.503518538;0
0;195.171;215.309;0.369461057;0
0;29.426;86.007;0.283962118;0
0;90.947;27.162;0.404644596;0
0;502.914;573.5;0.49963721;0
3;15.064;14.167;1.592364161;0
3.7;24.806;5.816;0.166786222;0
0;25.865;11.914;-0.279178176;0
18.483;24.602;5.205;0.510696657;0
