FE,EBITA,OCF,MC,FS
25.005,34.691,8.814,-0.088036697,0
25.025,23.250999999999998,16.805999999999997,0.04867559,0
0.568,29.105999999999998,6.697,0.065149641,0
1.632,34.766,15.255,0.06453785599999999,0
1.474,42.556999999999995,24.76,0.45418289,0
1.474,55.177,9.531,0.594334885,0
0.237,78.999,22.823,0.29787941,0
0.42,94.444,28.525,-0.261664854,0
26.314,89.031,10.051,-0.310707693,0
13.652000000000001,64.367,46.093,0.011713221000000001,0
42.525,27.206999999999997,-33.315,-0.033212947,0
92.256,30.745,34.733000000000004,-0.606877865,0
3.392,47.49100000000001,14.572000000000001,1.1552234540000001,0
3.745,61.773999999999994,50.938,0.692027927,0
2.289,91.87700000000001,-40.482,0.6886608740000001,0
74.245,118.90700000000001,-21.239,0.389251254,0
22.994,168.52200000000002,16.926,-0.390353929,0
63.6,166.08,64.45100000000001,-0.23536911800000002,0
100.833,134.345,153.156,0.360815039,0
114.075,196.312,108.598,0.34967038,0
122.865,222.69299999999998,94.21700000000001,-0.537740396,0
86.4,245.2,162.9,0.627899791,0
69.7,256.0,139.8,0.216841072,0
69.0,83.7,-43.0,0.088512131,0
12.0,136.9,32.1,-0.194844383,0
2.0,148.2,21.8,0.424703709,0
2.6510000000000002,7.907,6.024,0.425,0
4.953,10.064,3.447,0.7894736840000001,0
6.767,13.001,1.925,0.078431373,0
0.094,-0.555,-0.941,2.670078519,0
0.17600000000000002,-1.071,-0.8170000000000001,4.315759312,0
0.456,0.28,2.719,-0.125880408,0
0.324,58.036,34.755,0.5072241279999999,0
0.3,72.358,29.448,1.049082571,0
0.4,86.037,58.201,0.29999935699999997,0
0.41,110.579,44.25899999999999,0.909479525,0
2.247,166.97799999999998,63.457,0.7758569009999999,0
0.65,238.207,79.71300000000001,-0.007634925999999999,0
200.735,290.675,82.07799999999999,-0.298436558,0
35.152,413.73900000000003,332.281,1.308161988,0
28.5,670.1,221.4,1.299162192,0
1.7,-55.6,95.0,-0.781137903,0
15.7,-192.4,60.5,-0.649415029,0
8.3,19.9,38.9,0.640821993,0
